time,open,high,low,close,volume
2026-05-25T04:05:00Z,50992.31,50995.31,50991.31,50992.81,113.0
2026-05-25T04:10:00Z,50992.81,51003.31,50990.81,51001.31,162.0
2026-05-25T04:15:00Z,51001.31,51002.31,50993.31,50994.31,180.0
2026-05-25T04:20:00Z,50994.31,51001.81,50993.81,50997.31,142.0
2026-05-25T04:25:00Z,50997.31,51000.81,50994.81,50996.31,132.0
2026-05-25T04:30:00Z,50996.31,50996.31,50985.81,50989.31,144.0
2026-05-25T04:35:00Z,50989.31,50994.81,50984.31,50984.81,162.0
2026-05-25T04:40:00Z,50984.81,50995.31,50983.81,50994.31,184.0
2026-05-25T04:45:00Z,50994.31,51001.31,50992.31,50997.81,187.0
2026-05-25T04:50:00Z,50997.81,51006.31,50996.31,51000.31,226.0
2026-05-25T04:55:00Z,51000.31,51001.31,50989.31,50990.81,107.0
2026-05-25T05:00:00Z,50990.81,51004.31,50989.31,51000.31,237.0
2026-05-25T05:05:00Z,51000.31,51002.31,50990.81,50993.31,177.0
2026-05-25T05:10:00Z,50993.31,50999.31,50993.31,50997.31,135.0
2026-05-25T05:15:00Z,50997.31,51023.31,50994.31,51022.31,294.0
2026-05-25T05:20:00Z,51022.31,51025.81,51015.31,51016.31,255.0
2026-05-25T05:25:00Z,51016.31,51019.81,51011.31,51015.31,176.0
2026-05-25T05:30:00Z,51015.31,51025.81,51011.31,51025.81,229.0
2026-05-25T05:35:00Z,51025.81,51034.31,51025.81,51031.31,226.0
2026-05-25T05:40:00Z,51031.31,51040.31,51026.31,51037.81,242.0
2026-05-25T05:45:00Z,51037.81,51037.81,51021.81,51025.31,184.0
2026-05-25T05:50:00Z,51025.31,51025.31,51014.31,51023.31,207.0
2026-05-25T05:55:00Z,51023.31,51025.81,51015.31,51015.31,231.0
2026-05-25T06:00:00Z,51015.31,51015.31,50996.31,50999.31,416.0
2026-05-25T06:05:00Z,50999.31,51008.31,50996.31,51005.81,340.0
2026-05-25T06:10:00Z,51005.81,51011.81,51003.81,51004.81,244.0
2026-05-25T06:15:00Z,51004.81,51005.81,50994.31,50994.31,246.0
2026-05-25T06:20:00Z,50994.31,50998.81,50984.81,50998.31,385.0
2026-05-25T06:25:00Z,50998.31,51008.31,50996.31,51007.81,292.0
2026-05-25T06:30:00Z,51007.81,51008.81,50989.81,50996.81,402.0
2026-05-25T06:35:00Z,50996.81,51003.81,50994.81,50999.81,324.0
2026-05-25T06:40:00Z,50999.81,51003.81,50989.81,50990.81,217.0
2026-05-25T06:45:00Z,50990.81,50993.31,50985.81,50988.31,191.0
2026-05-25T06:50:00Z,50988.31,51002.31,50985.31,50998.31,510.0
2026-05-25T06:55:00Z,50998.31,50999.81,50987.31,50987.31,480.0
2026-05-25T07:00:00Z,50987.31,51004.31,50987.31,50996.81,608.0
2026-05-25T07:05:00Z,50996.81,51005.31,50992.31,51001.31,459.0
2026-05-25T07:10:00Z,51001.31,51005.31,50990.31,50992.31,432.0
2026-05-25T07:15:00Z,50992.31,50999.31,50940.309,50950.81,1068.0
2026-05-25T07:20:00Z,50950.81,50991.81,50939.809,50988.81,1163.0
2026-05-25T07:25:00Z,50988.81,50994.81,50981.81,50984.31,535.0
2026-05-25T07:30:00Z,50984.31,51061.311,50982.81,51029.81,1222.0
2026-05-25T07:35:00Z,51029.81,51039.81,51011.81,51015.31,586.0
2026-05-25T07:40:00Z,51015.31,51021.81,51005.31,51012.31,486.0
2026-05-25T07:45:00Z,51012.31,51020.81,51006.31,51013.31,386.0
2026-05-25T07:50:00Z,51013.31,51018.31,51009.81,51017.31,313.0
2026-05-25T07:55:00Z,51017.31,51024.81,51015.31,51021.81,240.0
2026-05-25T08:00:00Z,51021.81,51026.81,50995.81,51001.81,600.0
2026-05-25T08:05:00Z,51001.81,51022.31,50995.31,51019.81,452.0
2026-05-25T08:10:00Z,51019.81,51036.31,51019.81,51031.31,435.0
2026-05-25T08:15:00Z,51031.31,51033.81,51013.81,51027.81,402.0
2026-05-25T08:20:00Z,51027.81,51032.81,51019.81,51022.81,267.0
2026-05-25T08:25:00Z,51022.81,51029.81,50994.81,50997.81,464.0
2026-05-25T08:30:00Z,50997.81,51018.31,50990.81,51017.81,439.0
2026-05-25T08:35:00Z,51017.81,51028.81,51017.81,51023.31,298.0
2026-05-25T08:40:00Z,51023.31,51034.81,51019.81,51033.81,320.0
2026-05-25T08:45:00Z,51033.81,51045.31,51033.31,51041.81,234.0
2026-05-25T08:50:00Z,51041.81,51048.81,51035.81,51037.81,229.0
2026-05-25T08:55:00Z,51037.81,51039.81,51033.81,51038.81,192.0
2026-05-25T09:00:00Z,51038.81,51051.811,51036.31,51047.81,249.0
2026-05-25T09:05:00Z,51047.81,51052.811,51040.81,51040.81,154.0
2026-05-25T09:10:00Z,51040.81,51050.811,51036.31,51036.31,209.0
2026-05-25T09:15:00Z,51036.31,51042.81,51030.81,51042.31,184.0
2026-05-25T09:20:00Z,51042.31,51042.31,51028.81,51030.31,159.0
2026-05-25T09:25:00Z,51030.31,51040.81,51029.81,51038.81,150.0
2026-05-25T09:30:00Z,51038.81,51060.311,51038.31,51053.311,252.0
2026-05-25T09:35:00Z,51053.311,51053.811,51042.31,51051.811,194.0
2026-05-25T09:40:00Z,51051.811,51069.811,51050.811,51068.811,221.0
2026-05-25T09:45:00Z,51068.811,51068.811,51062.311,51068.311,199.0
2026-05-25T09:50:00Z,51068.311,51068.311,51050.811,51050.811,229.0
2026-05-25T09:55:00Z,51050.811,51057.311,51049.81,51049.81,226.0
2026-05-25T10:00:00Z,51049.81,51050.31,51043.31,51043.31,231.0
2026-05-25T10:05:00Z,51043.31,51053.311,51040.31,51051.811,223.0
2026-05-25T10:10:00Z,51051.811,51062.811,51047.81,51059.811,347.0
2026-05-25T10:15:00Z,51059.811,51077.811,51059.311,51069.311,363.0
2026-05-25T10:20:00Z,51069.311,51070.311,51056.311,51056.311,236.0
2026-05-25T10:25:00Z,51056.311,51056.811,51044.31,51047.31,243.0
2026-05-25T10:30:00Z,51047.31,51049.81,51036.31,51042.31,230.0
2026-05-25T10:35:00Z,51042.31,51050.31,51039.31,51049.81,182.0
2026-05-25T10:40:00Z,51049.81,51062.311,51049.31,51055.811,271.0
2026-05-25T10:45:00Z,51055.811,51055.811,51043.81,51044.81,189.0
2026-05-25T10:50:00Z,51044.81,51055.311,51043.31,51054.311,180.0
2026-05-25T10:55:00Z,51054.311,51057.311,51044.81,51046.81,186.0
2026-05-25T11:00:00Z,51046.81,51047.81,51032.31,51033.31,237.0
2026-05-25T11:05:00Z,51033.31,51040.81,51016.31,51035.81,376.0
2026-05-25T11:10:00Z,51035.81,51045.81,51035.81,51041.81,189.0
2026-05-25T11:15:00Z,51041.81,51049.81,51038.31,51048.81,188.0
2026-05-25T11:20:00Z,51048.81,51052.811,51039.81,51044.81,189.0
2026-05-25T11:25:00Z,51044.81,51046.81,51037.31,51046.31,192.0
2026-05-25T11:30:00Z,51046.31,51071.311,51046.31,51058.811,378.0
2026-05-25T11:35:00Z,51058.811,51069.311,51053.811,51066.811,246.0
2026-05-25T11:40:00Z,51066.811,51068.311,51063.811,51066.811,189.0
2026-05-25T11:45:00Z,51066.811,51092.811,51066.811,51073.311,344.0
2026-05-25T11:50:00Z,51073.311,51085.311,51070.811,51080.811,396.0
2026-05-25T11:55:00Z,51080.811,51083.311,51070.811,51075.311,259.0
2026-05-25T12:00:00Z,51075.311,51075.311,51059.811,51066.811,320.0
2026-05-25T12:05:00Z,51066.811,51081.811,51066.811,51070.811,355.0
2026-05-25T12:10:00Z,51070.811,51096.311,51070.311,51087.811,346.0
2026-05-25T12:15:00Z,51087.811,51094.311,51079.811,51092.811,264.0
2026-05-25T12:20:00Z,51092.811,51133.811,51086.311,51108.811,573.0
2026-05-25T12:25:00Z,51108.811,51117.311,51100.811,51104.311,590.0
2026-05-25T12:30:00Z,51104.311,51110.811,51096.811,51101.811,417.0
2026-05-25T12:35:00Z,51101.811,51103.811,51092.811,51094.811,375.0
2026-05-25T12:40:00Z,51094.811,51096.811,51088.811,51092.811,359.0
2026-05-25T12:45:00Z,51092.811,51095.811,51073.311,51075.811,470.0
2026-05-25T12:50:00Z,51075.811,51093.811,51073.311,51089.311,283.0
2026-05-25T12:55:00Z,51089.311,51093.811,51075.811,51075.811,302.0
2026-05-25T13:00:00Z,51075.811,51075.811,51058.311,51058.811,441.0
2026-05-25T13:05:00Z,51058.811,51069.811,51058.811,51066.811,250.0
2026-05-25T13:10:00Z,51066.811,51074.311,51062.311,51073.811,198.0
2026-05-25T13:15:00Z,51073.811,51073.811,51057.311,51065.311,323.0
2026-05-25T13:20:00Z,51065.311,51074.811,51059.311,51059.811,285.0
2026-05-25T13:25:00Z,51059.811,51070.811,51059.811,51070.811,229.0
2026-05-25T13:30:00Z,51070.811,51133.661,51070.811,51103.661,1205.0
2026-05-25T13:35:00Z,51103.661,51108.661,51077.661,51093.661,802.0
2026-05-25T13:40:00Z,51093.661,51096.661,51068.661,51070.661,539.0
2026-05-25T13:45:00Z,51070.661,51073.661,51039.16,51048.66,494.0
2026-05-25T13:50:00Z,51048.66,51057.661,51042.66,51056.661,657.0
2026-05-25T13:55:00Z,51056.661,51083.161,51056.661,51075.661,540.0
